epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,482.436,0.39684,0.23982,0.81105,0.93342,0.85881,0.90706,0.75343,0.77317,0.4912,0.9295,0.000618312,0.000618312,0.000618312
43,493.769,0.39595,0.24198,0.81941,0.91603,0.84729,0.88853,0.73308,0.78438,0.5503,0.93057,0.0005891,0.0005891,0.0005891
44,504.884,0.38162,0.23016,0.80976,0.9114,0.87021,0.90348,0.74938,0.79686,0.50301,0.94108,0.00056012,0.00056012,0.00056012
45,515.772,0.38402,0.23469,0.80749,0.93959,0.84551,0.90354,0.7492,0.79502,0.48501,0.9412,0.000531423,0.000531423,0.000531423
46,526.695,0.39102,0.23594,0.81063,0.91935,0.85615,0.90305,0.7475,0.80323,0.50159,0.94989,0.00050306,0.00050306,0.00050306
47,538.027,0.38285,0.23343,0.8142,0.92302,0.84519,0.90214,0.74495,0.81138,0.48494,0.95112,0.000475081,0.000475081,0.000475081
48,549.46,0.37497,0.22744,0.8123,0.92975,0.85903,0.91365,0.75604,0.79165,0.47449,0.93424,0.000447534,0.000447534,0.000447534
49,560.48,0.36679,0.22225,0.80929,0.92847,0.86585,0.91277,0.75726,0.80746,0.46912,0.94576,0.000420468,0.000420468,0.000420468
50,571.513,0.35663,0.22226,0.80863,0.89344,0.87566,0.90292,0.74776,0.81066,0.48465,0.94863,0.00039393,0.00039393,0.00039393
51,582.701,0.36769,0.22295,0.80033,0.89773,0.84894,0.8874,0.73706,0.81251,0.51835,0.94579,0.000367967,0.000367967,0.000367967
52,593.881,0.36235,0.21976,0.81069,0.88271,0.84816,0.8891,0.7376,0.8083,0.54395,0.95039,0.000342625,0.000342625,0.000342625
53,604.781,0.35476,0.21859,0.80601,0.88405,0.83186,0.86535,0.71667,0.81023,0.60404,0.95602,0.000317948,0.000317948,0.000317948
54,615.89,0.34827,0.21359,0.80028,0.91335,0.81951,0.87633,0.72634,0.80992,0.61856,0.95001,0.000293979,0.000293979,0.000293979
55,627.046,0.34675,0.21705,0.80297,0.89489,0.85571,0.88046,0.72786,0.80448,0.59858,0.94833,0.00027076,0.00027076,0.00027076
56,638.469,0.34281,0.21134,0.80169,0.89397,0.8309,0.8601,0.71041,0.81728,0.62241,0.95249,0.000248332,0.000248332,0.000248332
57,650.507,0.34209,0.21252,0.80654,0.90032,0.84042,0.86788,0.71704,0.81209,0.61587,0.95386,0.000226735,0.000226735,0.000226735
58,661.675,0.34033,0.21202,0.79721,0.90561,0.84071,0.86801,0.71801,0.80877,0.59927,0.95029,0.000206005,0.000206005,0.000206005
59,672.886,0.33609,0.20762,0.80089,0.90188,0.84275,0.87622,0.7252,0.8005,0.56824,0.95043,0.000186181,0.000186181,0.000186181
60,684.784,0.33216,0.2081,0.80464,0.89875,0.83515,0.86487,0.71509,0.80554,0.59181,0.95113,0.000167296,0.000167296,0.000167296
