epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,562.506,0.62538,0.36414,0.88703,0.94852,0.86574,0.91932,0.73135,0.93427,0.6832,0.99463,0.00118385,0.00118385,0.00118385
43,575.116,0.61715,0.35925,0.88112,0.97288,0.85663,0.90508,0.71668,0.94957,0.69037,1.01342,0.00117253,0.00117253,0.00117253
44,588.221,0.61554,0.36225,0.87955,0.9846,0.86752,0.9299,0.74433,0.90911,0.62119,0.99208,0.00116102,0.00116102,0.00116102
45,600.875,0.59932,0.36033,0.87787,0.97303,0.88019,0.92835,0.74611,0.89046,0.58623,0.9784,0.00114931,0.00114931,0.00114931
46,613.182,0.60004,0.35901,0.87481,0.9506,0.83812,0.91287,0.71989,0.94881,0.65861,1.0027,0.00113742,0.00113742,0.00113742
47,625.639,0.61249,0.35642,0.87834,0.90598,0.84513,0.89061,0.7059,0.92159,0.73435,0.99681,0.00112534,0.00112534,0.00112534
48,637.959,0.60529,0.35435,0.88659,0.91659,0.8529,0.88478,0.70805,0.89753,0.70506,0.98775,0.00111309,0.00111309,0.00111309
49,650.906,0.59134,0.34794,0.87204,0.97031,0.84987,0.93042,0.75045,0.89315,0.64195,0.98794,0.00110066,0.00110066,0.00110066
50,663.132,0.61033,0.3573,0.89049,0.94801,0.86406,0.91934,0.74496,0.87449,0.61821,0.98409,0.00108807,0.00108807,0.00108807
51,676.35,0.61663,0.36342,0.88989,0.94501,0.85841,0.9086,0.72623,0.91103,0.66248,0.99826,0.00107532,0.00107532,0.00107532
52,690.206,0.58484,0.35988,0.88272,0.92871,0.82554,0.9098,0.73176,0.92803,0.6578,0.99517,0.00106242,0.00106242,0.00106242
53,702.645,0.5859,0.35527,0.87476,0.94575,0.89523,0.93317,0.74244,0.93452,0.61128,1.00483,0.00104936,0.00104936,0.00104936
54,715.14,0.58132,0.34259,0.87702,0.93075,0.86771,0.92747,0.73576,0.95176,0.64908,1.01783,0.00103616,0.00103616,0.00103616
55,727.519,0.58804,0.34857,0.87185,0.91209,0.86803,0.91841,0.72411,0.9378,0.64279,1.00232,0.00102282,0.00102282,0.00102282
56,740.026,0.57204,0.32912,0.87483,0.93182,0.84732,0.91409,0.73199,0.91192,0.66678,0.99857,0.00100935,0.00100935,0.00100935
57,752.617,0.58387,0.33417,0.87905,0.89339,0.81269,0.87857,0.69596,0.92897,0.70671,1.0018,0.000995756,0.000995756,0.000995756
58,765.245,0.5978,0.3508,0.87467,0.86115,0.84799,0.88518,0.70194,0.93018,0.70338,1.00269,0.00098204,0.00098204,0.00098204
59,777.864,0.58745,0.35435,0.87303,0.88757,0.85868,0.89606,0.71938,0.90576,0.68459,0.98904,0.000968209,0.000968209,0.000968209
60,790.211,0.56489,0.33484,0.86951,0.94297,0.86189,0.92823,0.73988,0.94719,0.57784,1.00084,0.00095427,0.00095427,0.00095427
61,802.622,0.55999,0.3432,0.87244,0.91377,0.89013,0.92735,0.74595,0.90744,0.57781,0.99524,0.00094023,0.00094023,0.00094023
62,814.889,0.55729,0.33053,0.86109,0.8358,0.81221,0.87367,0.69626,0.90716,0.73621,0.99301,0.000926093,0.000926093,0.000926093
63,827.15,0.57271,0.34569,0.87966,0.90681,0.81639,0.89605,0.71535,0.90768,0.67851,1.00743,0.000911867,0.000911867,0.000911867
64,839.523,0.56006,0.32959,0.87169,0.88148,0.85993,0.91483,0.74474,0.87949,0.6382,0.97874,0.000897557,0.000897557,0.000897557
65,852.006,0.56408,0.33577,0.8788,0.92027,0.86503,0.92485,0.74328,0.89304,0.60746,0.98657,0.00088317,0.00088317,0.00088317
66,864.436,0.54656,0.33039,0.85145,0.95305,0.88385,0.93399,0.75193,0.90619,0.57353,0.98653,0.000868712,0.000868712,0.000868712
67,876.852,0.55418,0.32703,0.86978,0.91077,0.84227,0.87998,0.70105,0.95551,0.74416,1.01116,0.00085419,0.00085419,0.00085419
68,889.365,0.55101,0.33285,0.86329,0.93831,0.86101,0.92724,0.7476,0.92397,0.61856,0.99935,0.00083961,0.00083961,0.00083961
69,901.522,0.55544,0.33177,0.86297,0.92429,0.88389,0.92708,0.74591,0.93249,0.59404,1.00278,0.000824978,0.000824978,0.000824978
70,913.466,0.53632,0.32223,0.85951,0.95283,0.8988,0.93961,0.76206,0.8842,0.54079,0.98978,0.0008103,0.0008103,0.0008103
71,925.814,0.54957,0.32126,0.85859,0.9115,0.85294,0.92363,0.74767,0.92968,0.65839,1.01247,0.000795584,0.000795584,0.000795584
72,938.14,0.54229,0.32198,0.85783,0.90695,0.84946,0.90854,0.73933,0.90793,0.67124,1.00844,0.000780835,0.000780835,0.000780835
73,950.7,0.5404,0.31946,0.86175,0.92239,0.88933,0.92495,0.73498,0.92296,0.58298,1.00338,0.00076606,0.00076606,0.00076606
74,963.348,0.54508,0.31935,0.86265,0.96252,0.89983,0.93709,0.7497,0.92141,0.59072,1.00196,0.000751266,0.000751266,0.000751266
75,977.82,0.54079,0.31696,0.85697,0.94522,0.8548,0.9181,0.73252,0.90432,0.62853,0.99044,0.000736459,0.000736459,0.000736459
76,990.674,0.54358,0.31895,0.86022,0.8675,0.84218,0.88753,0.71059,0.9176,0.69419,0.99513,0.000721645,0.000721645,0.000721645
77,1002.79,0.52895,0.31112,0.86261,0.93996,0.85295,0.93223,0.75236,0.91146,0.62042,0.98998,0.000706831,0.000706831,0.000706831
78,1014.95,0.50881,0.30727,0.84347,0.92826,0.8582,0.92434,0.74331,0.91677,0.61856,0.99678,0.000692024,0.000692024,0.000692024
79,1027.13,0.51457,0.31029,0.8617,0.83773,0.82613,0.87705,0.69977,0.91498,0.78426,0.99212,0.00067723,0.00067723,0.00067723
80,1039.68,0.51742,0.31304,0.85142,0.88478,0.80601,0.88719,0.70993,0.8849,0.73771,0.9816,0.000662455,0.000662455,0.000662455
81,1052,0.52239,0.31383,0.8511,0.94948,0.84882,0.91745,0.73477,0.90279,0.63186,0.99096,0.000647706,0.000647706,0.000647706
82,1064.35,0.51651,0.30545,0.858,0.90227,0.87077,0.92035,0.73785,0.90482,0.66335,0.98458,0.00063299,0.00063299,0.00063299
83,1077.74,0.49023,0.29566,0.84674,0.92202,0.82978,0.89153,0.71002,0.90524,0.72015,0.98571,0.000618312,0.000618312,0.000618312
84,1089.9,0.50141,0.29708,0.85238,0.95538,0.86661,0.92401,0.73904,0.91243,0.59213,0.98808,0.00060368,0.00060368,0.00060368
85,1101.98,0.50483,0.30101,0.85939,0.96003,0.86402,0.92177,0.73925,0.87999,0.56332,0.97638,0.0005891,0.0005891,0.0005891
86,1114.16,0.49611,0.29419,0.84924,0.96558,0.88385,0.94115,0.75794,0.88575,0.53975,0.98015,0.000574578,0.000574578,0.000574578
87,1126.54,0.47924,0.30131,0.84809,0.93918,0.88714,0.93028,0.74432,0.90283,0.58683,0.98741,0.00056012,0.00056012,0.00056012
88,1138.76,0.49735,0.30507,0.8557,0.94611,0.87372,0.92927,0.74291,0.89765,0.60914,0.98761,0.000545733,0.000545733,0.000545733
89,1150.84,0.49985,0.3004,0.84648,0.97311,0.8769,0.94273,0.75261,0.9108,0.55094,0.99545,0.000531423,0.000531423,0.000531423
90,1163.13,0.47816,0.28836,0.84321,0.94782,0.88878,0.93534,0.7521,0.90785,0.60524,0.98572,0.000517197,0.000517197,0.000517197
91,1177.23,0.48386,0.28959,0.85035,0.93975,0.85988,0.92096,0.74781,0.87689,0.59933,0.97567,0.00050306,0.00050306,0.00050306
92,1190.76,0.48742,0.29541,0.84421,0.93313,0.85404,0.92115,0.74767,0.89258,0.6074,0.98399,0.00048902,0.00048902,0.00048902
93,1202.65,0.46454,0.28444,0.8383,0.9384,0.8631,0.92945,0.75712,0.8663,0.56812,0.97651,0.000475081,0.000475081,0.000475081
94,1214.58,0.47006,0.27971,0.83797,0.9478,0.89116,0.94108,0.76618,0.88191,0.56732,0.98475,0.00046125,0.00046125,0.00046125
95,1226.37,0.46987,0.2763,0.84115,0.97393,0.88386,0.94394,0.76796,0.88249,0.54266,0.98401,0.000447534,0.000447534,0.000447534
96,1238.53,0.47775,0.28676,0.8396,0.95449,0.88859,0.94152,0.76662,0.89149,0.57714,0.98656,0.000433938,0.000433938,0.000433938
97,1250.96,0.47919,0.28827,0.8442,0.93713,0.87766,0.93517,0.7585,0.87519,0.55249,0.97844,0.000420468,0.000420468,0.000420468
98,1265.44,0.47351,0.29283,0.84092,0.91582,0.88595,0.92909,0.74664,0.89811,0.59192,0.98586,0.00040713,0.00040713,0.00040713
99,1277.69,0.44862,0.27,0.84256,0.94077,0.88968,0.93659,0.75523,0.89675,0.58693,0.99192,0.00039393,0.00039393,0.00039393
100,1290.07,0.4634,0.27493,0.83699,0.94673,0.88201,0.93313,0.7541,0.90664,0.6082,0.99272,0.000380874,0.000380874,0.000380874
101,1304.19,0.46438,0.27853,0.84071,0.94728,0.88641,0.9364,0.76023,0.90881,0.58241,0.99591,0.000367967,0.000367967,0.000367967
102,1318.62,0.45386,0.2739,0.83462,0.95548,0.86461,0.93876,0.75923,0.89767,0.566,0.99226,0.000355216,0.000355216,0.000355216
103,1331.48,0.45929,0.27122,0.83372,0.9516,0.89036,0.94024,0.75615,0.89287,0.56996,0.9887,0.000342625,0.000342625,0.000342625
104,1343.74,0.45796,0.27373,0.84677,0.96253,0.88058,0.93642,0.75647,0.88494,0.56582,0.98224,0.000330201,0.000330201,0.000330201
105,1355.94,0.441,0.26726,0.82963,0.96152,0.85387,0.93497,0.75799,0.88635,0.55013,0.98821,0.000317948,0.000317948,0.000317948
106,1368.54,0.46017,0.28182,0.84117,0.92627,0.89646,0.935,0.76197,0.8832,0.56695,0.99124,0.000305872,0.000305872,0.000305872
107,1380.83,0.43921,0.2678,0.83394,0.94097,0.88575,0.93594,0.75534,0.89188,0.56806,0.99171,0.000293979,0.000293979,0.000293979
108,1393.11,0.44649,0.27259,0.82688,0.94406,0.88726,0.93466,0.75745,0.88016,0.5648,0.98843,0.000282273,0.000282273,0.000282273
109,1405.35,0.43898,0.26456,0.83511,0.96452,0.87542,0.93908,0.76104,0.87701,0.54238,0.98559,0.00027076,0.00027076,0.00027076
110,1417.51,0.44002,0.26589,0.83463,0.96453,0.89582,0.9434,0.76147,0.8949,0.54537,0.99678,0.000259445,0.000259445,0.000259445
