epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9489.67,0.67165,0.44714,0.92065,0.94633,0.57089,0.61003,0.49975,0.86823,1.12593,0.64126,0.000918991,0.000918991,0.000918991
43,9784.54,0.67487,0.43619,0.91618,0.87067,0.62418,0.67042,0.54239,0.86666,1.10718,0.64469,0.000897557,0.000897557,0.000897557
44,10006.4,0.66229,0.43424,0.91042,0.86543,0.59983,0.6442,0.52165,0.89175,1.23052,0.64545,0.00087595,0.00087595,0.00087595
45,10283,0.65036,0.41446,0.90348,0.97533,0.57906,0.65106,0.52304,0.90797,1.23845,0.65343,0.00085419,0.00085419,0.00085419
46,10517.6,0.64086,0.41772,0.90371,0.91245,0.64841,0.68667,0.54143,0.89208,1.14746,0.64811,0.0008323,0.0008323,0.0008323
47,10783.4,0.62825,0.40335,0.90067,0.9545,0.57676,0.66355,0.52747,0.89054,1.22723,0.65031,0.0008103,0.0008103,0.0008103
48,11052,0.64392,0.40114,0.90483,0.91733,0.60488,0.6624,0.52072,0.88826,1.136,0.65416,0.000788213,0.000788213,0.000788213
49,11295.3,0.62464,0.39791,0.90799,0.87482,0.57817,0.61091,0.47431,0.91881,1.27682,0.65806,0.00076606,0.00076606,0.00076606
50,11541.1,0.63433,0.39887,0.89973,0.9561,0.63309,0.69003,0.546,0.89481,1.12508,0.64956,0.000743864,0.000743864,0.000743864
51,11786.4,0.6129,0.38869,0.89358,0.87534,0.54695,0.58944,0.47182,0.92937,1.33029,0.6586,0.000721645,0.000721645,0.000721645
52,12056,0.61583,0.39705,0.89139,0.93612,0.60831,0.65832,0.51722,0.91131,1.19261,0.65426,0.000699426,0.000699426,0.000699426
53,12299.4,0.61901,0.39622,0.89291,0.96795,0.61452,0.67591,0.53301,0.90209,1.15762,0.65039,0.00067723,0.00067723,0.00067723
54,12563.8,0.59995,0.37394,0.88569,0.94429,0.58963,0.63196,0.50037,0.89361,1.09607,0.64711,0.000655077,0.000655077,0.000655077
55,12818.9,0.61103,0.38957,0.89788,0.96587,0.60486,0.65831,0.51879,0.89875,1.15645,0.65239,0.00063299,0.00063299,0.00063299
56,13048.4,0.60054,0.38106,0.89514,0.92158,0.5372,0.58016,0.46645,0.87731,1.1777,0.64704,0.00061099,0.00061099,0.00061099
57,13319.9,0.60316,0.39443,0.89292,0.92334,0.57745,0.63035,0.49846,0.90129,1.17479,0.65189,0.0005891,0.0005891,0.0005891
58,13579.6,0.59889,0.38905,0.89562,0.94283,0.45535,0.49825,0.39507,0.88551,1.08568,0.64738,0.00056734,0.00056734,0.00056734
59,13846.8,0.58635,0.37603,0.88737,0.90263,0.59695,0.64996,0.52434,0.87238,1.17287,0.64605,0.000545733,0.000545733,0.000545733
60,14110.5,0.59158,0.37724,0.88614,0.93276,0.61891,0.66202,0.52998,0.89509,1.05161,0.652,0.000524299,0.000524299,0.000524299
61,14364.6,0.58872,0.36673,0.88408,0.95886,0.58144,0.62568,0.50388,0.88182,1.07977,0.6473,0.00050306,0.00050306,0.00050306
62,14630.5,0.59194,0.36316,0.88409,0.98019,0.60628,0.66344,0.52278,0.89405,1.09144,0.64972,0.000482037,0.000482037,0.000482037
63,14897,0.57409,0.36166,0.88306,0.91715,0.59188,0.64154,0.51664,0.87049,1.13631,0.64406,0.00046125,0.00046125,0.00046125
64,15155.6,0.58336,0.36218,0.89226,0.90737,0.61593,0.66397,0.5231,0.88733,1.1583,0.65218,0.00044072,0.00044072,0.00044072
65,15433.3,0.56358,0.35661,0.8839,0.88143,0.60125,0.65578,0.53321,0.86861,1.17703,0.64617,0.000420468,0.000420468,0.000420468
66,15679.2,0.58887,0.36684,0.88817,0.84264,0.59442,0.64499,0.51679,0.87173,1.27806,0.64408,0.000400513,0.000400513,0.000400513
67,15918.6,0.56005,0.35417,0.87357,0.91496,0.57948,0.63288,0.50424,0.88274,1.26135,0.64394,0.000380874,0.000380874,0.000380874
68,16236.2,0.57057,0.34856,0.87617,0.93242,0.529,0.60548,0.48314,0.88969,1.28182,0.64793,0.000361572,0.000361572,0.000361572
69,16486.2,0.56214,0.35428,0.88839,0.95936,0.61461,0.67514,0.54727,0.87651,1.13983,0.64364,0.000342625,0.000342625,0.000342625
70,16760.3,0.56962,0.36393,0.87928,0.94151,0.51429,0.56436,0.4544,0.89517,1.11701,0.6522,0.000324053,0.000324053,0.000324053
71,17033.7,0.55312,0.352,0.87302,0.8949,0.55942,0.60627,0.48333,0.90594,1.15415,0.65298,0.000305872,0.000305872,0.000305872
72,17310.7,0.54995,0.34167,0.87654,0.87041,0.59588,0.62879,0.49839,0.88335,1.19032,0.64667,0.000288102,0.000288102,0.000288102
73,17595.5,0.54295,0.33464,0.87416,0.92495,0.57525,0.64752,0.52438,0.87553,1.13695,0.64493,0.00027076,0.00027076,0.00027076
74,17875.7,0.54617,0.33981,0.86889,0.87247,0.62272,0.66913,0.543,0.87553,1.14456,0.64595,0.000253863,0.000253863,0.000253863
75,18120.3,0.54246,0.33414,0.86993,0.89692,0.64454,0.68709,0.54746,0.88461,1.10436,0.64798,0.000237427,0.000237427,0.000237427
76,18391,0.52784,0.32453,0.871,0.94815,0.63574,0.6979,0.55269,0.90872,1.10679,0.65596,0.000221469,0.000221469,0.000221469
77,18640.8,0.5259,0.34086,0.86644,0.88559,0.62682,0.67717,0.54511,0.88852,1.12299,0.65145,0.000206005,0.000206005,0.000206005
78,18906.8,0.5349,0.33277,0.88165,0.92724,0.60349,0.6606,0.52894,0.89445,1.11083,0.65645,0.00019105,0.00019105,0.00019105
79,19158,0.52609,0.32582,0.87575,0.8823,0.60177,0.64423,0.51068,0.88653,1.13424,0.65481,0.000176619,0.000176619,0.000176619
80,19375.7,0.52467,0.32095,0.87282,0.8954,0.57766,0.63324,0.50828,0.89431,1.1844,0.65438,0.000162725,0.000162725,0.000162725
81,19604,0.50893,0.31806,0.86954,0.92824,0.58738,0.64657,0.51891,0.89031,1.1964,0.65159,0.000149383,0.000149383,0.000149383
82,19865.7,0.52305,0.32275,0.87137,0.87943,0.58122,0.63295,0.50496,0.88387,1.1676,0.64981,0.000136605,0.000136605,0.000136605
83,20119.4,0.5147,0.32264,0.86806,0.87463,0.59882,0.64084,0.51491,0.87772,1.21652,0.64861,0.000124405,0.000124405,0.000124405
84,20365.9,0.53024,0.32661,0.87757,0.89834,0.57802,0.62752,0.50726,0.8804,1.191,0.64816,0.000112795,0.000112795,0.000112795
85,20625.1,0.50317,0.31245,0.8621,0.90695,0.58963,0.63994,0.51516,0.87613,1.16303,0.64658,0.000101785,0.000101785,0.000101785
86,20855,0.52356,0.32767,0.8701,0.95663,0.53597,0.60123,0.48359,0.88087,1.11456,0.64941,9.13871e-05,9.13871e-05,9.13871e-05
87,21103.3,0.51972,0.32361,0.87388,0.96279,0.58852,0.65651,0.52924,0.88415,1.0892,0.65042,8.16111e-05,8.16111e-05,8.16111e-05
88,21380.2,0.49914,0.31157,0.86349,0.92041,0.59793,0.64981,0.52643,0.87778,1.092,0.64927,7.24667e-05,7.24667e-05,7.24667e-05
89,21629.5,0.51107,0.31949,0.86442,0.93747,0.57904,0.63308,0.50741,0.87697,1.0807,0.64974,6.3963e-05,6.3963e-05,6.3963e-05
90,21886.8,0.50262,0.30828,0.86368,0.93537,0.60673,0.65602,0.52728,0.87521,1.08377,0.64843,5.61083e-05,5.61083e-05,5.61083e-05
91,22327.4,0.45814,0.2641,0.83673,0.93234,0.59313,0.64876,0.51568,0.8864,1.13199,0.65194,4.89104e-05,4.89104e-05,4.89104e-05
92,22743.7,0.45504,0.25821,0.84319,0.91966,0.59083,0.6484,0.52186,0.88529,1.14865,0.65135,4.23765e-05,4.23765e-05,4.23765e-05
93,23104.4,0.44029,0.25287,0.82724,0.87453,0.59735,0.65002,0.51848,0.88489,1.15932,0.65108,3.65129e-05,3.65129e-05,3.65129e-05
94,23437.4,0.44854,0.2566,0.83238,0.87175,0.58901,0.6448,0.51512,0.88507,1.16651,0.65145,3.13254e-05,3.13254e-05,3.13254e-05
95,23785.6,0.43378,0.25111,0.83079,0.87913,0.58884,0.6429,0.51773,0.88451,1.17676,0.65138,2.68192e-05,2.68192e-05,2.68192e-05
96,24141.3,0.44888,0.25519,0.83071,0.88259,0.58695,0.64406,0.5166,0.88454,1.16995,0.65174,2.29987e-05,2.29987e-05,2.29987e-05
97,24453.2,0.44245,0.25328,0.83961,0.87788,0.59587,0.65379,0.52327,0.88259,1.17004,0.65131,1.98677e-05,1.98677e-05,1.98677e-05
98,24742,0.44117,0.24984,0.83353,0.87999,0.60191,0.66103,0.52481,0.88217,1.16835,0.65116,1.74293e-05,1.74293e-05,1.74293e-05
99,25010.9,0.43621,0.24984,0.83553,0.90911,0.58477,0.65342,0.5227,0.88144,1.17212,0.65087,1.56858e-05,1.56858e-05,1.56858e-05
100,25264.5,0.43118,0.25167,0.83383,0.90137,0.59408,0.66161,0.53039,0.8816,1.17003,0.65088,1.4639e-05,1.4639e-05,1.4639e-05
